Hang_xe,Tuoi_xe,Nam_dang_ky,Tinh_trang_xe,Dung_tich_xe,Dong_xe,So_km_da_di,Loai_xe,Gia_xe
Honda,9,2014,Đã sử dụng,Không rõ,SHMode,9000,Tay ga,41500000.0
Honda,1,2022,Đã sử dụng,100 - 175 cc,Wave,1000,Xe số,15000000.0
Yamaha,6,2017,Đã sử dụng,Không rõ,Exciter,16000,Tay côn,26000000.0
Honda,17,2006,Đã sử dụng,100 - 175 cc,Future,20,Xe số,24000000.0
Honda,13,2010,Đã sử dụng,100 - 175 cc,Wave,33000,Xe số,9200000.0
Honda,11,2012,Đã sử dụng,100 - 175 cc,Wave,12345,Tay ga,6200000.0
Honda,13,2010,Đã sử dụng,Không rõ,Lead,20000,Tay ga,10000000.0
Yamaha,13,2010,Đã sử dụng,100 - 175 cc,Jupiter,25000,Xe số,5000000.0
Honda,7,2016,Đã sử dụng,100 - 175 cc,Future,123,Xe số,22800000.0
Piaggio,10,2013,Đã sử dụng,100 - 175 cc,Vespa,15000,Tay ga,60000000.0
Honda,15,2008,Đã sử dụng,Không rõ,AirBlade,12345,Tay ga,14300000.0
Honda,6,2017,Đã sử dụng,Không rõ,Winner,15000,Tay côn,19999000.0
Yamaha,6,2017,Đã sử dụng,100 - 175 cc,Exciter,10000,Tay côn,20000000.0
Honda,43,1980,Đã sử dụng,Không rõ,Cub,12345,Tay ga,15000000.0
Piaggio,8,2015,Đã sử dụng,Không rõ,Sprint,12000,Tay ga,38500000.0
Honda,11,2012,Đã sử dụng,100 - 175 cc,Rebel,10000,Tay côn,35000000.0
Honda,3,2020,Đã sử dụng,Không rõ,AirBlade,6666,Tay ga,88000000.0
Honda,1,2022,Đã sử dụng,50 - 100 cc,Wave,1000,Xe số,18000000.0
Yamaha,10,2013,Đã sử dụng,100 - 175 cc,Jupiter,2500,Xe số,9000000.0
Honda,18,2005,Đã sử dụng,100 - 175 cc,Wave,15,Xe số,2970000.0
Honda,11,2012,Đã sử dụng,100 - 175 cc,Lead,2200,Tay ga,8800000.0
Yamaha,13,2010,Đã sử dụng,100 - 175 cc,Exciter,39000,Tay côn,58000000.0
Honda,3,2020,Đã sử dụng,100 - 175 cc,Dòng khác,13000,Tay ga,31500000.0
Hãng khác,12,2011,Đã sử dụng,100 - 175 cc,Amici,58000,Tay ga,16800000.0
Honda,4,2019,Đã sử dụng,100 - 175 cc,Vision,11000,Tay ga,31000000.0
Honda,23,2000,Đã sử dụng,100 - 175 cc,Dream,5000,Xe số,25500000.0
Honda,2,2021,Đã sử dụng,Không rõ,Vario,5800,Tay ga,37000000.0
Yamaha,3,2020,Đã sử dụng,Không rõ,Exciter,15000,Xe số,26200000.0
Honda,3,2020,Đã sử dụng,Không rõ,SHMode,2000,Tay ga,78000000.0
Piaggio,12,2011,Đã sử dụng,100 - 175 cc,Vespa,18,Tay ga,20600000.0
Yamaha,8,2015,Đã sử dụng,50 - 100 cc,Sirius,1000,Xe số,4200000.0
Honda,4,2019,Đã sử dụng,Không rõ,Lead,2600,Tay ga,23500000.0
Yamaha,7,2016,Đã sử dụng,Không rõ,Exciter,1234,Tay côn,17800000.0
Hãng khác,12,2011,Đã sử dụng,50 - 100 cc,Dòng khác,25000,Xe số,5500000.0
Piaggio,2,2021,Đã sử dụng,100 - 175 cc,Sprint,7666,Tay ga,71500000.0
Honda,9,2014,Đã sử dụng,50 - 100 cc,Wave,2200,Xe số,8800000.0
Honda,43,1980,Đã sử dụng,50 - 100 cc,67,10,Xe số,25500000.0
Honda,5,2018,Đã sử dụng,100 - 175 cc,SH,6000,Tay ga,79500000.0
Honda,15,2008,Đã sử dụng,100 - 175 cc,Win,1234,Tay côn,5000000.0
Honda,1,2022,Đã sử dụng,Không rõ,Vario,900,Tay ga,63800000.0
Yamaha,5,2018,Đã sử dụng,Không rõ,Exciter,20000,Tay côn,24800000.0
SYM,6,2017,Đã sử dụng,100 - 175 cc,Attila,10000,Tay ga,6000000.0
SYM,12,2011,Đã sử dụng,100 - 175 cc,Shark,20000,Tay ga,10900000.0
Honda,21,2002,Đã sử dụng,100 - 175 cc,Wave,33333,Xe số,15999999.0
Honda,11,2012,Đã sử dụng,100 - 175 cc,AirBlade,25,Tay ga,16000000.0
Honda,3,2020,Đã sử dụng,100 - 175 cc,WinnerX,5000,Tay côn,30800000.0
Yamaha,2,2021,Đã sử dụng,100 - 175 cc,Exciter,27000,Tay côn,32000000.0
Honda,3,2020,Đã sử dụng,100 - 175 cc,Vision,5,Tay ga,31800000.0
Honda,9,2014,Đã sử dụng,100 - 175 cc,Click,5,Tay ga,37000000.0
Honda,2,2021,Đã sử dụng,Không rõ,SHMode,38000,Tay ga,68000000.0
Honda,1,2022,Đã sử dụng,100 - 175 cc,Lead,7000,Tay ga,39000000.0
Honda,15,2008,Đã sử dụng,100 - 175 cc,Future,30000,Xe số,50000000.0
Honda,4,2019,Đã sử dụng,Không rõ,Winner,2000,Xe số,29290000.0
Piaggio,7,2016,Đã sử dụng,100 - 175 cc,Sprint,11000,Tay ga,45900000.0
Honda,25,1998,Đã sử dụng,50 - 100 cc,Cub,16,Xe số,17500000.0
Honda,9,2014,Đã sử dụng,100 - 175 cc,SH,10,Tay ga,65000000.0
Honda,3,2020,Đã sử dụng,Không rõ,Wave,2800,Xe số,27500000.0
Honda,1,2022,Đã sử dụng,100 - 175 cc,Wave,1000,Xe số,28000000.0
Honda,11,2012,Đã sử dụng,100 - 175 cc,SH,10000,Tay ga,37900000.0
Honda,16,2007,Đã sử dụng,Không rõ,Future,50000,Xe số,25900000.0
Honda,4,2019,Đã sử dụng,Không rõ,Winner,10000,Tay côn,24900000.0
Honda,5,2018,Đã sử dụng,100 - 175 cc,Vision,10000,Tay ga,27500000.0
Hãng khác,5,2018,Đã sử dụng,Không rõ,Dòng khác,35000,Tay côn,13500000.0
Honda,19,2004,Đã sử dụng,100 - 175 cc,Wave,8888,Xe số,28000000.0
Yamaha,3,2020,Đã sử dụng,Không rõ,Exciter,50000,Tay côn,30800000.0
Honda,9,2014,Đã sử dụng,Không rõ,Lead,9000,Tay ga,22800000.0
Honda,13,2010,Đã sử dụng,Không rõ,SH,38000,Tay ga,115000000.0
Honda,4,2019,Đã sử dụng,100 - 175 cc,SH,10000,Xe số,73000000.0
Honda,4,2019,Đã sử dụng,Không rõ,Wave,21,Tay ga,20000000.0
Honda,13,2010,Đã sử dụng,Không rõ,SH,14000,Tay ga,151000000.0
SYM,3,2020,Đã sử dụng,50 - 100 cc,Angela,45245,Xe số,1950000.0
Honda,7,2016,Đã sử dụng,100 - 175 cc,AirBlade,26000,Tay ga,27300000.0
Piaggio,8,2015,Đã sử dụng,100 - 175 cc,Primavera,9000,Tay ga,34000000.0
Suzuki,12,2011,Đã sử dụng,50 - 100 cc,Hayate,2,Tay ga,4600000.0
Honda,10,2013,Đã sử dụng,100 - 175 cc,SH,22000,Tay ga,56000000.0
Yamaha,8,2015,Đã sử dụng,Không rõ,Luvias,1,Tay ga,13800000.0
Yamaha,1,2022,Đã sử dụng,100 - 175 cc,Freego,8000,Tay ga,23500000.0
Yamaha,9,2014,Đã sử dụng,100 - 175 cc,Sirius,111,Xe số,9900000.0
Yamaha,9,2014,Đã sử dụng,100 - 175 cc,Grande,18000,Tay ga,18500000.0
Honda,11,2012,Đã sử dụng,Không rõ,AirBlade,50000,Tay ga,15900000.0
Honda,1,2022,Đã sử dụng,100 - 175 cc,Click,1600,Tay ga,85000000.0
Yamaha,2,2021,Đã sử dụng,Trên 175 cc,Nvx,11129,Tay ga,49000000.0
SYM,13,2010,Đã sử dụng,100 - 175 cc,Shark,6589,Tay ga,9999999.0
Honda,18,2005,Đã sử dụng,100 - 175 cc,Dream,15,Xe số,2970000.0
Piaggio,6,2017,Đã sử dụng,100 - 175 cc,Vespa,25000,Tay ga,24000000.0
Yamaha,11,2012,Đã sử dụng,100 - 175 cc,Luvias,1,Tay ga,10800000.0
Honda,3,2020,Đã sử dụng,100 - 175 cc,Vision,25000,Tay ga,26800000.0
Honda,10,2013,Đã sử dụng,100 - 175 cc,Wave,63000,Xe số,9500000.0
Honda,1,2022,Mới,100 - 175 cc,AirBlade,0,Tay ga,41700000.0
Honda,12,2011,Đã sử dụng,100 - 175 cc,SH,19998,Tay ga,139000000.0
